# {"env_id": "SpaceInvadersNoFrameskip-v4", "t_start": 1579715141.957248} 
r,l,t
105.0,373,2.281667
80.0,355,2.912127
150.0,425,3.663645
180.0,519,4.576682
210.0,476,5.408634
100.0,366,6.183732
120.0,456,6.989398
100.0,309,7.529889
110.0,563,8.519658
60.0,292,9.03517
380.0,702,10.269747
160.0,457,11.082153
215.0,481,11.933335
35.0,357,12.556951
150.0,478,13.399359
25.0,442,14.199593
155.0,358,14.930412
210.0,594,16.183906
65.0,416,17.180253
175.0,540,18.224824
55.0,378,18.959609
75.0,304,19.565092
325.0,825,22.104813
75.0,524,25.205066
45.0,274,26.720077
135.0,760,31.074774
105.0,367,33.097762
155.0,477,35.919312
65.0,289,37.540645
230.0,635,41.461726
150.0,471,44.253222
80.0,286,45.780251
180.0,603,49.259269
110.0,510,52.374746
80.0,432,54.859642
135.0,472,57.457111
35.0,272,59.031418
110.0,504,62.034385
160.0,366,63.92444
210.0,604,67.239952
45.0,290,68.83005
130.0,335,70.776768
60.0,284,72.335072
60.0,421,74.297133
165.0,483,76.848214
230.0,655,80.417598
215.0,659,83.80694
155.0,487,86.139192
110.0,380,88.282181
110.0,450,90.611316
155.0,591,93.557741
80.0,382,95.602748
60.0,444,98.107328
45.0,385,100.188128
330.0,758,104.296412
25.0,285,105.96293
125.0,487,108.627707
120.0,337,110.408456
105.0,472,112.908744
55.0,392,115.208526
75.0,375,117.230244
275.0,559,120.345143
105.0,383,122.393062
105.0,338,124.398452
30.0,383,126.50226
105.0,326,128.281319
185.0,604,130.768287
110.0,502,133.544824
90.0,484,135.758099
65.0,300,137.065422
35.0,331,138.537664
125.0,384,140.427397
460.0,944,145.283118
155.0,535,147.605289
35.0,417,150.02504
125.0,533,152.186935
210.0,581,154.561226
225.0,701,158.094869
120.0,438,160.08401
95.0,522,162.677967
55.0,279,164.271462
155.0,617,167.925196
110.0,403,170.302775
475.0,801,174.970232
225.0,703,179.302505
140.0,462,182.044362
220.0,646,186.330112
415.0,1088,192.838594
130.0,509,195.535578
80.0,471,198.28717
45.0,423,200.813475
240.0,626,204.420505
120.0,527,207.503932
45.0,328,209.449835
285.0,698,213.64784
165.0,517,216.523028
390.0,867,221.343757
120.0,500,223.91277
455.0,885,229.332722
110.0,377,231.57322
155.0,460,233.910704
60.0,333,235.915662
210.0,506,238.766452
105.0,528,242.17681
45.0,313,244.060165
50.0,284,245.981897
180.0,501,248.955226
215.0,544,251.662067
60.0,414,254.015976
80.0,374,256.031647
135.0,510,259.1782
165.0,576,262.151744
105.0,378,264.197959
210.0,699,268.403261
95.0,513,271.244629
135.0,533,274.302403
105.0,469,276.812367
115.0,489,279.414644
110.0,384,281.782595
225.0,591,285.213085
135.0,381,287.173095
55.0,313,288.847885
155.0,517,291.491971
210.0,890,296.102534
20.0,355,297.250666
135.0,442,298.648919
125.0,473,300.17213
110.0,389,301.43286
70.0,287,302.348475
90.0,291,303.276945
260.0,703,305.527531
125.0,472,307.025305
110.0,472,308.526844
120.0,430,309.896423
65.0,292,310.823897
110.0,475,312.337277
110.0,408,313.632718
135.0,522,315.301417
105.0,427,316.662775
210.0,527,318.335485
110.0,326,319.369923
180.0,577,321.231422
65.0,408,322.538066
30.0,298,323.491717
260.0,727,325.815099
